ssThresh,CWND,segmentSize,bytesInFlightSum,bytesInFlightAvg,segmentsAckedSum,segmentsAckedAvg,avgRTT,minRTT,avgInterTx,avdInterRx,Throughput
4294967295,340,340,340,340,1,1,80375,80000,0,0,3400
4294967295,340,340,0,0,0,0,0,80000,0,0,0
4294967295,338,340,0,0,0,0,0,80000,0,0,0
4294967295,340,340,340,340,1,1,80375,80000,0,0,3400
4294967295,340,340,0,0,0,0,0,80000,0,0,0
4294967295,338,340,0,0,0,0,0,80000,0,0,0
4294967295,339,340,0,0,0,0,0,80000,0,0,0
4294967295,338,340,0,0,0,0,0,80000,0,0,0
4294967295,339,340,0,0,0,0,0,80000,0,0,0
4294967295,338,340,0,0,0,0,0,80000,0,0,0
4294967295,339,340,0,0,0,0,0,80000,0,0,0
4294967295,338,340,0,0,0,0,0,80000,0,0,0
4294967295,339,340,0,0,0,0,0,80000,0,0,0
4294967295,338,340,0,0,0,0,0,80000,0,0,0
4294967295,339,340,0,0,0,0,0,80000,0,0,0
4294967295,338,340,0,0,0,0,0,80000,0,0,0
4294967295,339,340,0,0,0,0,0,80000,0,0,0
4294967295,338,340,0,0,0,0,0,80000,0,0,0
4294967295,339,340,0,0,0,0,0,80000,0,0,0
4294967295,338,340,0,0,0,0,0,80000,0,0,0
4294967295,339,340,0,0,0,0,0,80000,0,0,0
65535,340,340,0,0,0,0,0,80000,1082571,0,0
4294967295,339,340,0,0,0,0,0,80000,0,0,0
65535,340,340,0,0,0,0,0,80000,0,0,0
65535,340,340,0,0,0,0,0,80000,1082571,0,0
65535,340,340,0,0,0,0,0,80000,0,0,0
65535,340,340,0,0,0,0,0,80000,0,0,0
65535,343,340,340,340,1,1,105578,80000,282528,1282528,3400
65535,340,340,0,0,0,0,0,80000,0,0,0
65535,343,340,0,0,0,0,0,80000,0,0,0
65535,346,340,340,340,1,1,105578,80000,282528,1282528,3400
65535,343,340,0,0,0,0,0,80000,0,0,0
65535,346,340,0,0,0,0,0,80000,0,0,0
65535,345,340,340,340,1,1,127755,80000,282528,282528,3400
65535,346,340,0,0,0,0,0,80000,0,0,0
65535,345,340,0,0,0,0,0,80000,0,0,0
65535,343,340,340,340,1,1,127755,80000,282528,282528,3400
65535,345,340,0,0,0,0,0,80000,0,0,0
65535,343,340,0,0,0,0,0,80000,0,0,0
65535,345,340,340,340,1,1,147036,80000,282528,282528,3400
65535,343,340,0,0,0,0,0,80000,0,0,0
65535,345,340,0,0,0,0,0,80000,0,0,0
65535,344,340,340,340,1,1,147036,80000,282528,282528,3400
65535,345,340,0,0,0,0,0,80000,0,0,0
65535,344,340,0,0,0,0,0,80000,0,0,0
65535,340,340,340,340,1,1,164031,80000,282528,282528,3400
65535,344,340,0,0,0,0,0,80000,0,0,0
65535,340,340,0,0,0,0,0,80000,0,0,0
65535,343,340,340,340,1,1,164031,80000,282528,282528,3400
65535,340,340,0,0,0,0,0,80000,0,0,0
65535,343,340,0,0,0,0,0,80000,0,0,0
65535,338,340,340,340,1,1,178777,80000,0,282528,3400
65535,343,340,0,0,0,0,0,80000,0,0,0
65535,338,340,0,0,0,0,0,80000,0,0,0
65535,337,340,340,340,1,1,178777,80000,0,282528,3400
65535,338,340,0,0,0,0,0,80000,0,0,0
65535,337,340,0,0,0,0,0,80000,0,0,0
